file,issue_folder,volume,issue_number,month,year,title,authors,keywords,pages,abstract_words,duplicate_of,abstract
IJEPA-2026-011.pdf,Vol 1_Issue 3_March 2026,1,3,March,2026,Advanced Waterproofing Materials for Durable Construction: A Comprehensive Study,Pramod Bhanudasrao Gavane,"Waterproofing, Crystalline Admixtures, Membrane Systems, Durability, Dampness Control, Concrete Protection",4,122,,"Waterproofing is a critical component in modern construction that ensures durability, structural integrity, and long-term performance of buildings. Water ingress is one of the leading causes of structural deterioration, resulting in reinforcement corrosion, reduced strength, dampness, and increased maintenance costs. This study investigates the causes of leakage in various structural components such as slabs, water tanks, underground structures, pipelines, and walls affected by rising dampness. It also evaluates advanced waterproofing materials including polymer-modified coatings, liquid membranes, crystalline admixtures, and pre-applied membrane systems. Special emphasis is placed on high-performance materials such as fully bonded membrane systems and crystalline waterproofing compounds. The study concludes that integrating waterproofing at the design stage using advanced materials significantly enhances durability, reduces lifecycle costs, and improves structural safety."
IJEPA-2026-012.pdf,Vol 1_Issue 3_March 2026,1,3,March,2026,Enhancing Energy Efficiency in Wireless Sensor Networks Using Adaptive Duty Cycling,Vaishnavi Balaji Kale,"Wireless Sensor Networks, Energy Efficiency, Adaptive Duty Cycling, Network Lifetime, Sensor Nodes",10,210,,"Wireless Sensor Networks (WSNs) are widely deployed in diverse fields such as environmental monitoring, healthcare, and industrial automation due to their ability to collect and transmit data from remote or inaccessible locations. A major challenge in WSNs is the limited energy capacity of sensor nodes, which directly affects network longevity and reliability. Traditional fixed duty cycling approaches, where sensor nodes alternate between active and sleep states on a preset schedule, often lead to inefficient energy use because they cannot adapt to varying network traffic or environmental conditions. This paper introduces an adaptive duty cycling mechanism that dynamically adjusts the active and sleep periods of sensor nodes based on real-time network traffic and environmental parameters such as temperature and humidity. The proposed algorithm operates through continuous sensing, decision-making using threshold-based heuristics, and adjustment phases to optimize energy consumption while maintaining high data delivery performance. Simulation results using the NS- 3 simulator demonstrate that the adaptive duty cycling method reduces average energy consumption by 25% and extends network lifetime by approximately 30% compared to conventional fixed duty cycling, with minimal impact on packet delivery ratio. These findings highlight the potential of adaptive duty cycling to enhance energy efficiency in WSNs, making it a practical solution for energy-constrained sensor deployments in dynamic environments."
IJEPA-2026-013.pdf,Vol 1_Issue 3_March 2026,1,3,March,2026,IoT-Based Smart Monitoring and Automation System for Efficient Resource Management,Aman Kamble,"Internet of Things, Smart Systems, Automation, Sensors, Smart Agriculture, Embedded Systems, Cloud Computing",4,126,,"The rapid growth of the Internet of Things (IoT) has enabled the development of intelligent systems capable of monitoring and controlling real-world environments in real time. This paper presents an IoT-based smart monitoring and automation system designed for efficient resource management in applications such as smart agriculture, smart homes, and industrial environments. The proposed system integrates sensors, microcontrollers, and cloud platforms to collect, process, and analyze environmental data such as temperature, humidity, and soil moisture. Based on predefined thresholds, automated decisions are made to control actuators, thereby optimizing resource utilization. The system is designed to be low-cost, scalable, and energy-efficient. Experimental evaluation demonstrates improved efficiency, reduced manual intervention, and enhanced system reliability. The proposed solution contributes to sustainable and intelligent infrastructure development in modern IoT ecosystems."
IJEPA-2026-014.pdf,Vol 1_Issue 3_March 2026,1,3,March,2026,Design and Analysis of an Intelligent PID-Based Control System for Industrial Process Automation,Prathamesh N. Kale,"Control Systems, PID Controller, Adaptive Control, Industrial Automation, System Stability, Feedback Control",4,118,,"Control systems are fundamental to modern engineering applications, enabling precise regulation of dynamic processes in industries such as manufacturing, robotics, and power systems. This paper presents the design and analysis of an intelligent Proportional-Integral-Derivative (PID) based control system for industrial process automation. The proposed system enhances traditional PID control by incorporating adaptive tuning mechanisms to improve system stability, response time, and robustness under varying operating conditions. Mathematical modeling of the system is performed, and performance is evaluated using key metrics such as rise time, settling time, overshoot, and steady-state error. Simulation results demonstrate that the proposed adaptive PID controller outperforms conventional fixed-parameter PID controllers. The system provides improved accuracy and stability, making it suitable for real-time industrial applications."
IJEPA-2026-015.pdf,Vol 1_Issue 3_March 2026,1,3,March,2026,Design and Implementation of an Intelligent Autonomous Mobile Robot for Navigation and Obstacle Avoidance,Sarthak B. Kale,"Robotics, Autonomous Navigation, Obstacle Avoidance, Mobile Robot, Sensors, Embedded Systems, Control Systems",5,122,,"Robotics has emerged as a key technology in modern engineering, enabling automation across industrial, healthcare, and service domains. This paper presents the design and implementation of an intelligent autonomous mobile robot capable of real-time navigation and obstacle avoidance. The proposed system integrates sensors, microcontrollers, and control algorithms to enable autonomous decision-making in dynamic environments. A hybrid approach combining rule- based logic and feedback control is employed to enhance navigation efficiency and system stability. The robot uses ultrasonic and infrared sensors to detect obstacles and adjusts its trajectory accordingly. Simulation and experimental results demonstrate improved navigation accuracy, reduced collision probability, and efficient path planning. The system offers a cost-effective and scalable solution for real-world applications such as warehouse automation, surveillance, and smart transportation."
IJEPA-2026-016.pdf,Vol 1_Issue 4_April 2026,1,4,April,2026,Augmented Reality in interactive Learning: A comprehensive Survey,Radhika Pardeshi | Shrutika Nivangune | Bhumika Rajvir | Ankita Mate | Prof. Vijay Mohite,"Augmented Reality, Interactive Learning, Educational Technology, Mobile Learning, Android Application, 3D Visualization, Algorithm Simulation, Data Structures Visualization, Code Flow Animation, AR Quiz System, Student Engagement, Immersive Learning, Learning Analytics, User-Friendly Interface",12,173,,"In today’s digital era, traditional classroom learning methods often fail to fully engage students or help them clearly understand complex technical concepts. Subjects such as Data Structures, Algorithms, and Object-Oriented Programming require strong visualization and practical understanding, which is difficult to achieve through textbooks and lectures alone. This gap between theoretical knowledge and practical comprehension can reduce student interest and learning effectiveness. This paper presents an AR-Based Interactive Learning Application, a mobile learning solution designed to enhance student engagement through Augmented Reality (AR). The application allows learners to visualize programming concepts using 3D models, real-time animations, and interactive simulations. Instead of imagining how algorithms or data structures work, students can observe step- by- step visual execution in an immersive AR environment. The system is developed as a mobile application that integrates AR technology to provide interactive modules such as Data Structures, Algorithms, Code Flow Visualization, and Quiz-Based Assessment. The frontend focuses on user-friendly design to ensure smooth navigation and better learning experience, while the backend manages user progress, quiz performance, and activity tracking."
IJEPA-2026-017.pdf,Vol 1_Issue 4_April 2026,1,4,April,2026,A Structured Framework for Efficient Cloud Migration and Modernization of Legacy Systems,Manish P. Raut | Mrs. Rashmi V. Dharse | Dr. Y. B. Gurav | Khushi Kalokhe | Pallavi M. Pabal,"Cloud Migration, Legacy System Modernization, Migration Framework, Containerization, DevOps, Data Migration, Cloud Security, Auto-Scaling",12,96,,"Cloud migration has become a critical strategy for organizations seeking scalability, flexibility, and cost efficiency. However, the migration process introduces challenges such as data security risks, interoperability issues, and performance optimization. Recent studies highlight the need for structured frameworks to support migration decision-making and reduce associated risks. This paper presents a comprehensive review of cloud migration strategies and identifies limitations in existing approaches. A decision-support framework is proposed that integrates technical, operational, and security factors to enhance migration efficiency. The proposed approach improves system performance and reliability, making it suitable for critical domains such as healthcare."
IJEPA-2026-018.pdf,Vol 1_Issue 4_April 2026,1,4,April,2026,"A Pattern-Based Framework for Prompt Engineering in Large Language Models: Techniques, Applications, and Comparative Analysis",Pranit Tambe | Manish P. Raut | Dr. Yogesh B. Gurav | Kartik Lanjulkar | Mohit Kulkarni | Rashmi V. Dharse,"Prompt Engineering, Large Language Models, Pattern-Based Framework, Natural Language Processing, Few- Shot Learning, Zero-Shot Learning, AI Interaction, Text Generation, Prompt Optimization, LLM Applications",11,156,,"Large Language Models (LLMs) have significantly advanced natural language processing; however, their effectiveness largely depends on the quality of input prompts. This paper presents a structured and pattern-based approach to prompt engineering, aimed at improving the accuracy, relevance, and controllability of LLM outputs. The study introduces a classification of prompt engineering patterns, including instructional, question-based, comparative, and zero/few-shot techniques. In addition, a unified prompt engineering framework is proposed that integrates user input, pattern-based design, iterative refinement, and feedback mechanisms. The framework is designed to enhance response quality across diverse applications such as information retrieval, content generation, and decision support. A comparative analysis highlights the advantages of structured prompting over unstructured interactions in terms of accuracy, efficiency, and contextual understanding. The findings demonstrate that pattern-oriented prompt engineering significantly improves model performance while reducing ambiguity and bias. This work contributes a systematic foundation for designing effective prompts and provides practical insights for researchers and practitioners working with LLMs."
IJEPA-2026-019.pdf,Vol 1_Issue 4_April 2026,1,4,April,2026,A Structured Analysis of E-Learning Methodologies and Emerging Trends in Modern Information Technology,Manish P. Raut | Pallavi M. Pabal | Dr. Yogesh B. Gurav | Rashmi V. Dharse | Prashant Kathole | Damini Malviya,"E-learning, Adaptive Learning, Learning Management Systems, Artificial Intelligence in Education, Learning Analytics, Cloud Computing, Mobile Learning, Immersive Learning, Educational Technology",12,177,,"The rapid advancement of information and communication technologies has significantly transformed modern education, leading to the widespread adoption of e-learning systems. However, existing studies often focus on isolated tools or methodologies without providing a unified and structured perspective. This study presents a comprehensive analysis of e- learning methodologies and their integration with emerging technologies such as artificial intelligence, cloud computing, learning analytics, and immersive environments. The paper proposes a structured framework that combines traditional instructional approaches with modern, technology-driven methodologies to enhance personalization, scalability, and learning effectiveness. Various e-learning models, including web-based, LMS-based, adaptive, mobile, and immersive learning, are systematically analyzed along with the supporting technological infrastructure. Furthermore, the study examines emerging trends, key challenges, and future directions in digital education. A comparative analysis of different methodologies is also presented to highlight their advantages and limitations. The findings indicate a clear shift toward intelligent, learner-centered, and data-driven educational systems. This work contributes to the development of scalable, adaptive, and sustainable e- learning environments by providing a structured and reproducible approach for integrating pedagogy with modern technological advancements."
IJEPA-2026-020.pdf,Vol 1_Issue 4_April 2026,1,4,April,2026,Adaptive Energy Management Techniques for IoT Devices in LEO Satellite Systems,Mohan Singade,"LEO Satellite Systems, Energy management for LEO Satellite, Optimize Power for IOT devices in LEO Satellite",9,115,,"Low Earth Orbit (LEO) satellite constellations are becoming a viable solution for providing global Internet of Things (IoT) connectivity, particularly in remote and underserved areas. IoT devices communicating via LEO satellites, however, face significant energy limitations due to long-range transmissions, intermittent satellite availability, and constrained battery life. This study presents adaptive energy management strategies that optimize power usage by considering satellite pass predictions, channel conditions, traffic load, and device activity. The approach combines duty-cycling, adaptive transmission power, edge-assisted data aggregation, and reinforcement-learning-based scheduling. Simulation results indicate that the proposed methods can reduce energy consumption by 35–55% while ensuring reliable connectivity, thereby extending device lifetime and supporting scalable, sustainable large-scale IoT deployments over LEO satellite networks."
IJEPA-2026-021.pdf,Vol 1_Issue 5_May 2026,1,5,May,2026,Federated Learning-Based Privacy-Preserving Models for Smart Healthcare Applications,Prathamesh Kale,"Federated Learning, Differential Privacy, Homomorphic Encryption, Smart Healthcare, Privacy-Preserving Machine Learning, Electronic Health Records, IoMT, Non-IID Data",9,176,,"The rapid proliferation of connected medical devices and electronic health records (EHRs) has created vast repositories of sensitive patient data that hold significant potential for training powerful machine learning models. However, centralizing such data raises grave privacy, regulatory, and ethical concerns. Federated Learning (FL) has emerged as a compelling paradigm to address these challenges by enabling distributed model training without sharing raw patient data. This paper presents a comprehensive investigation into FL-based privacy-preserving frameworks specifically designed for smart healthcare applications. We examine the foundational FL architecture, analyze its integration with privacy-enhancing technologies — namely Differential Privacy (DP), Homomorphic Encryption (HE), and Secure Multi-party Computation (SMC) — and survey healthcare use cases including disease prediction, medical image analysis, drug discovery, and remote patient monitoring. We further discuss adversarial threats unique to federated healthcare settings, propose a layered defense architecture, and present experimental results across five healthcare benchmark datasets. Our findings indicate that FL achieves within 4–6% of centralized model accuracy while providing strong privacy guarantees, making it a practical and regulatory-compliant solution for next-generation smart healthcare systems."
IJEPA-2026-022.pdf,Vol 1_Issue 5_May 2026,1,5,May,2026,IoT-Enabled Real-Time Environmental Monitoring and Disaster Prediction System,ShivaKumar Pandre,"Internet of Things (IoT), Wireless Sensor Networks, Disaster Prediction, LSTM, Edge Computing, MQTT, LoRaWAN, Environmental Monitoring, Smart Cities, Apache Kafka",14,212,,"Environmental disasters floods, wildfires, landslides, earthquakes, and extreme air quality events collectively claim over 70,000 lives and inflict $200 billion in economic damage annually. Timely, accurate warning systems can dramatically reduce these tolls; yet most existing approaches rely on sparse, manually operated sensor networks with limited predictive capability. This paper presents a comprehensive IoT-enabled real-time environmental monitoring and disaster prediction system that integrates a heterogeneous wireless sensor network (WSN), a three-tier edge-cloud processing architecture, and a deep learning-based predictive engine. Eight categories of environmental sensors stream data through MQTT and LoRaWAN protocols to edge computing nodes (Raspberry Pi 4 and NVIDIA Jetson Nano) for preprocessing, anomaly detection, and local inference, with refined data forwarded to a cloud platform running Apache Kafka, InfluxDB, and a trained LSTM prediction model. Evaluated across six disaster categories on a six-month real-world deployment in the Western Ghats region of Maharashtra, India, the proposed system achieves 96.4% prediction accuracy with a mean lead time of 72 minutes before disaster onset. End-to-end MQTT latency averages 12 ms, and the edge-offloading strategy reduces cloud energy consumption by 34% compared to a cloud-only baseline. The system demonstrates that scalable, low-latency IoT architectures, when combined with temporal deep learning, constitute a viable and deployable early-warning infrastructure for smart cities and disaster-prone regions."
IJEPA-2026-023.pdf,Vol 1_Issue 5_May 2026,1,5,May,2026,Resource Allocation Optimization in Multi-Cloud Environments Using Reinforcement Learning,Vaishnavi Balaji Kale,"Reinforcement Learning, Multi-Cloud Optimization, Resource Allocation, Proximal Policy Optimization, Markov Decision Process, SLA, Cloud Cost Optimization, Kubernetes, Auto-Scaling, FinOps",9,253,,"The proliferation of multi-cloud strategies in which enterprises simultaneously operate workloads across Amazon Web Services, Microsoft Azure, Google Cloud Platform, and private on-premises infrastructure creates a combinatorically complex resource allocation problem that defies static rule-based management. Dynamic workload patterns, heterogeneous pricing models (on-demand, spot, reserved, server less), region-specific latency constraints, and stringent Service Level Agreement (SLA) requirements collectively define an optimization landscape that shifts on timescales of seconds to hours. This paper presents a Reinforcement Learning (RL) framework for autonomous, multi-objective resource allocation across heterogeneous cloud environments. We formulate the allocation problem as a Markov Decision Process (MDP) with an 8- dimensional state space encoding utilization, cost, latency, and SLA signals, and a hybrid discrete-continuous action space covering horizontal scaling, workload migration, instance type selection, and spot-instance arbitrage. Proximal Policy Optimization (PPO) is selected as the training algorithm following comparative evaluation against Deep Q-Networks (DQN), Asynchronous Advantage Actor-Critic (A3C), and Soft Actor-Critic (SAC). Trained on Google Cluster Trace 2019 and Azure Public Dataset 2020, the PPO agent is deployed in a production 4-cloud environment managing 2,400 containerized workloads over twelve months. It achieves 39.2% monthly cost reduction versus static allocation, reduces SLA violations from 8.9% to 1.1%, raises resource utilization from 51.3% to 86.4%, and attains a 5-year net ROI of $1.13 million with financial break-even at Month 19. Decision latency of 53ms per allocation cycle satisfies the sub-60ms operational SLO. These results establish RL-based autonomous cloud management as a deployable, financially justified alternative to manual and rule-based approaches for large-scale multi-cloud operations."
